Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Viet Nam,VNM,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,25.5,25,24.6,24.1,23.5,22.9,22.2,21.6,20.9,20.3,..
Viet Nam,VNM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,58,56,55,53,52,51,52,49,48,..,..
Viet Nam,VNM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.51,2.47,2.52,..,..,..,..,..,..,..,..
Viet Nam,VNM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.795,0.825,..,0.881,0.99,0.856,1.107,..,..,..,..
Timor-Leste,TLS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.326,65.61,65.898,66.204,66.496,66.919,66.199,67.368,67.689,67.904,..
Timor-Leste,TLS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.69146681,6.94250727,6.80442286,6.40227413,4.99218798,7.26445007,4.9192977,7.46371841,9.59779453,..,..
Timor-Leste,TLS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,60.2,58.7,57.3,56,54.8,53.4,52,50.7,49.2,47.6,..
Timor-Leste,TLS,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,55.2,53.6,52.4,51.2,50,48.8,47.5,46.2,44.8,43.4,..
Timor-Leste,TLS,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,65,63.3,61.9,60.6,59.3,57.9,56.4,54.9,53.3,51.7,..
Timor-Leste,TLS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,305,287,269,251,237,257,263,235,192,..,..
Timor-Leste,TLS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,195,..,..,..,..,..,..,..,..,..
Timor-Leste,TLS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.39,..,0.42,0.42,0.41,0.4,0.39,0.39,0.38,..,..
Timor-Leste,TLS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.69,..,0.745,0.718,0.764,0.752,..,..,..,..,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,
